"t","Ph","Te","Isol"
2013-02-03 20:35:00,86,4.11683333333333,-0.279392764866667
2013-02-03 21:05:00,86,4.36983333333333,-0.2185723514
2013-02-03 21:35:00,86,4.602,-0.179618863033333
2013-02-03 22:05:00,84,4.80816666666667,-0.209657622733333
2013-02-03 22:35:00,84,4.95683333333333,-0.1308139535
2013-02-03 23:05:00,84,5.11566666666667,-0.159173126616667
2013-02-03 23:35:00,84,5.24716666666667,-0.201873385
2013-02-04 00:05:00,82,5.20016666666667,-0.241860465116667
2013-02-04 00:35:00,82,5.424,-0.17115633075
2013-02-04 01:05:00,82,5.5535,-0.23304263565
2013-02-04 01:35:00,82,5.62633333333333,-0.20826873385
2013-02-04 02:05:00,80,5.832,-0.123772609833333
2013-02-04 02:35:00,78,6.15933333333333,-0.0848837209333333
2013-02-04 03:05:00,80,6.62083333333333,-0.0495155038833333
2013-02-04 03:35:00,78,7.25233333333333,-0.113533591733333
2013-02-04 04:05:00,76,7.699,-0.257784237716667
2013-02-04 04:35:00,76,7.82533333333333,-0.300581395333333
2013-02-04 05:05:00,76,7.82766666666667,-0.35080749355
2013-02-04 05:35:00,74,7.84816666666667,-0.411627906966667
2013-02-04 06:05:00,76,7.9445,-0.516989664083333
2013-02-04 06:35:00,72,8.08933333333333,-0.620639534883333
2013-02-04 07:05:00,72,8.05466666666667,-0.621350129183333
2013-02-04 07:35:00,74,7.723,-0.0679263565833333
2013-02-04 08:05:00,70,7.57516666666667,5.32571059431667
2013-02-04 08:35:00,70,7.57416666666667,13.01379198965
2013-02-04 09:05:00,70,7.72866666666667,9.42406330748333
2013-02-04 09:35:00,70,8.0545,12.3857235142333
2013-02-04 10:05:00,68,8.52266666666667,44.9296834625167
2013-02-04 10:35:00,66,8.81633333333333,28.8474806201667
2013-02-04 11:05:00,66,9.01233333333333,17.5420542635667
2013-02-04 11:35:00,66,9.06083333333333,33.9670219638167
2013-02-04 12:05:00,64,9.135,39.4020348837167
2013-02-04 12:35:00,64,9.03933333333333,33.480749354
2013-02-04 13:05:00,62,8.896,43.4270994832
2013-02-04 13:35:00,64,8.24933333333333,29.7467377260833
2013-02-04 14:05:00,56,8.21733333333333,115.380264857883
2013-02-04 14:35:00,56,8.2145,87.2619509044
2013-02-04 15:05:00,60,8.072,61.6616279069667
2013-02-04 15:35:00,56,7.95983333333333,206.6315891473
2013-02-04 16:05:00,54,7.625,111.223191214467
2013-02-04 16:35:00,62,6.92766666666667,7.53917958655
2013-02-04 17:05:00,66,6.76366666666667,-0.421511627916667
2013-02-04 17:35:00,68,6.64483333333333,-0.657073643416667
2013-02-04 18:05:00,68,6.024,-1.21437338501667
2013-02-04 18:35:00,68,6.0175,-0.584916020666667
2013-02-04 19:05:00,70,6.0795,-0.43636950905
2013-02-04 19:35:00,72,6.52566666666667,-0.373385012933333
2013-02-04 20:05:00,72,6.6425,-0.512758397933333
2013-02-04 20:35:00,72,6.641,-0.601195090433333
2013-02-04 21:05:00,74,6.52566666666667,-0.677583979316667
2013-02-04 21:35:00,74,6.39716666666667,-0.523029715783333
2013-02-04 22:05:00,74,6.28,-0.608559431516667
2013-02-04 22:35:00,74,6.17883333333333,-0.86640826875
2013-02-04 23:05:00,76,5.89316666666667,-0.9325258398
2013-02-04 23:35:00,74,5.78916666666667,-1.23488372091667
2013-02-05 00:05:00,76,5.54616666666667,-1.0301356589
2013-02-05 00:35:00,76,5.26716666666667,-1.1287790698
2013-02-05 01:05:00,76,4.91783333333333,-1.2649870801
2013-02-05 01:35:00,78,4.773,-1.0414728682
2013-02-05 02:05:00,78,4.776,-1.26214470285
